Slug,Company,Owner,Draft URL,Original Site,Phone,Email,Address,Verify notes
albertandflaherty,Albert & Flaherty Ltd,Ben,https://lemonelly.com/draft/albertandflaherty,http://www.roofermerthyrtydfil.co.uk/,01685 709116 / 07970 898 150,sharon.albert@albertandflaherty.co.uk,"Rowan House, Christopher Terrace, Merthyr Tydfil, CF47 0UE",decoded from Cloudflare obfuscation — verify before outreach · sister domain lists CITB/CHAS/Guild of Master Craftsmen/IiP — unclear if these apply to the roofing arm; NOT claimed on draft · meta-description phone (01685 848 205) differs from contact-page phone — draft uses the contact-page number
alpineroofinghalifax,Alpine Roofing & Maintenance Ltd,Ben,https://lemonelly.com/draft/alpineroofinghalifax,http://www.alpineroofing.co.uk/,01422 346464 — mobile 07977 221493,sales@alpineroofing.co.uk,"Bailey Hall Business Park, Halifax, HX3 9XJ",
alroofingleeds,A & L Roofing Leeds Ltd,Ben,https://lemonelly.com/draft/alroofingleeds,https://www.alroofingleeds.co.uk/,0113 2644 705 — mobile 07514 555 808,info@alroofingleeds.com,not published on site,com not .co.uk; resolved from a Cloudflare-obfuscated mailto on about-us.html . Verify before outreach if possible
andrewwrightroofing,Andrew Wright Roofing & Access Platform Hire Ltd,Ben,https://lemonelly.com/draft/andrewwrightroofing,http://www.andrewwrightroofing.com/,01981 550524 / 07710 945552,info@andrewwrightroofing.com,"Garden House, Chapel Lane, Dorstone, Herefordshire, HR3 6AP",Cloudflare-obfuscated — verify before outreach
ashmark,Ashmark Roofing,Veronica,https://lemonelly.com/draft/ashmark,https://ashmarkroofing.co.uk/,Office 020 8882 8812 / Mobile 07866 467 674,sales@ashmarkroofing.co.uk,"14 Fernleigh Road, London N21 3AL (Winchmore Hill)",
borderroofers,Border Roofers Ltd,Ben,https://lemonelly.com/draft/borderroofers,http://www.borderrooferslanarkshire.co.uk/,01698 428 523 (24 hours),borderrooferslimited@gmail.com,"112 Clydesdale Avenue, Hamilton, South Lanarkshire, ML3 7SR",
bradfordroofingcontractors,Bradford Roofing Contractors Ltd,Veronica,https://lemonelly.com/draft/bradfordroofingcontractors,https://bradfordroofing.wixsite.com/website,01274 602025,info@bradford-roofing.co.uk,"2 Beamsley Road, Frizinghall, Shipley, Bradford, BD18 2DR",the bradford-roofing.co.uk domain does not resolve to a website; email only
brownroofing,Brown Roofing,Ben,https://lemonelly.com/draft/brownroofing,https://brown-roofing.co.uk,01255 862511,stuart@brown-roofing.co.uk,"Valley Barns, Golden Lane, Thorpe-le-Soken, Essex, CO16 0LE",
brunwin,Brunwin Professional Roofing Services Ltd,Ben,https://lemonelly.com/draft/brunwin,http://www.brunwinroofing.co.uk/,0208 660 6939 / Mobile 079 7354 9331,info@brunwinroofing.co.uk,"Rockfield Road, Oxted, Surrey, RH8 0HA",mobile printed with odd spacing on their site — verify digits before calling
burnbankroofing,Burnbank Roofing,Ben,https://lemonelly.com/draft/burnbankroofing,https://www.burnbankroofing.co.uk/,01292 861050 / 07414 811706,david@burnbankroofing.co.uk,"40 Annfield Glen Road, Ayr, South Ayrshire, KA7 3RT","one testimonial mentions a ""25-year guarantee job"" — job-specific, NOT presented as a blanket guarantee on the draft"
capitalroofing,Capital Roofing Co,Ben,https://lemonelly.com/draft/capitalroofing,http://www.capital-roofing.co.uk/,020 8858 5123,info@capital-roofing.co.uk,"Capital House, 193 Westcombe Hill, Blackheath, London, SE3 7BB",
cherwellroofing,Cherwell Roofing Ltd,Ben,https://lemonelly.com/draft/cherwellroofing,https://www.cherwellroofing.co.uk/,01865 370846,info@cherwellroofing.co.uk,"209 Woodstock Road, Yarnton, Oxon OX5 1PU; registered: Monkswell, Little Baldon, Oxford OX44 9PU",
colemanroofing,Coleman Roofing & Solar,Ben,https://lemonelly.com/draft/colemanroofing,http://coleman-roofing.co.uk/,07771 404669,martyn@colemanroofing.info,"Penrith, Cumbria",
coventryroofsandtrims,Coventry Roofs and Trims,Veronica,https://lemonelly.com/draft/coventryroofsandtrims,https://www.coventryroofsandtrims.co.uk/,024 7661 0400,info@coventryroofsandtrims.co.uk,not published on site,
crroofing,C R Roofing (Birmingham),Veronica,https://lemonelly.com/draft/crroofing,https://roofersandbuilders.co.uk/,0121 745 4100,info@roofersandbuilders.co.uk,"11 Twickenham Dr, Birmingham, B13 8LY (plus Solihull and Bromsgrove offices listed)","unverifiable superlative, NOT used on the draft"
danielkirbyroofing,Daniel Kirby Roofing and Building,Ben,https://lemonelly.com/draft/danielkirbyroofing,http://www.roofers-folkestone.co.uk/,01303 892705 (mobile 07916 273886),RoofersFolkestone@gmail.com,"27 The Meade, Hawkinge, Folkestone, Kent CT18 7NJ",nothing citable; do NOT reference any rating in outreach or on the draft
davidasiggery,David A Siggery Ltd,Ben,https://lemonelly.com/draft/davidasiggery,https://davidasiggery.co.uk/,01267 241314 / 07970 902769,info@davidasiggery.co.uk,"Ty Gwyn, Llansteffan, Carmarthen, SA33 5AJ (matches registered office)",
dentonroofing,Denton Roofing,Veronica,https://lemonelly.com/draft/dentonroofing,https://dentonroofing.co.uk,01285 642736,info@dentonroofing.co.uk,"Siddington Hall, Siddington, Cirencester, GL7 6HR",
djmackay,D.J. Mackay & Son Roofing Ltd,Ben,https://lemonelly.com/draft/djmackay,https://djmackayroofing.co.uk/,029 20 844088 / Freephone 0800 197 9041 / Mobile 07778 746 917,danny@djmackayroofing.co.uk,"182a Lansdowne Road, Canton, Cardiff, CF5 1JT",
djtroofingbarnstaple,DJT Roofing,Veronica,https://lemonelly.com/draft/djtroofingbarnstaple,http://www.djtroofing.com/,01271 323935 — mobile 07779 146780,djt.todd@btinternet.com,"Rowden Barn, Roundswell, Barnstaple EX31 3NP",
dksroofing,DKS Roofing Ltd,Ben,https://lemonelly.com/draft/dksroofing,https://www.dksroofingltd.co.uk/,01782 271316,office@dksroofing.co.uk,"100 Union Street, Hanley, Stoke On Trent, Staffordshire, ST1 5AS",
dsroofing,D.S. Roofing Ltd,Veronica,https://lemonelly.com/draft/dsroofing,https://www.d-sroofing.co.uk/,01387 811 153 / 07813 728 399,info@d-sroofing.co.uk,"Park Place, Netherhill, Heck, Dumfriesshire, DG11 1JD",
